City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,carutapera,-1.195,-46.02,298.26,93,100,2.71,BR,1713752459
217,howard springs,-12.497,131.047,304.16,56,48,4.43,AU,1713752459
218,uturoa,-16.7333,-151.4333,301.91,70,51,1.73,PF,1713752459
219,kutum,14.2,24.6667,297.31,17,37,2.46,SD,1713752459
220,fyodorovka,53.6314,62.7078,288.82,75,25,4.34,KZ,1713752460
221,volodarskiy,46.4013,48.5409,288.12,55,49,3.53,RU,1713752460
222,thunder bay,48.4001,-89.3168,277.14,45,20,0.51,CA,1713752460
223,mary,37.0,62.5,295.02,26,0,3.57,TM,1713752460
224,nuuk,64.1835,-51.7216,277.49,70,100,8.75,GL,1713752280
225,belmonte,-15.8631,-38.8828,297.55,90,35,2.75,BR,1713752460
226,okha,53.5739,142.9478,272.73,95,100,4.92,RU,1713752461
227,puerto deseado,-47.7503,-65.8938,280.41,62,0,1.98,AR,1713752461
228,plastun,44.7561,136.2939,279.71,67,100,2.59,RU,1713752461
229,kedrovyy,56.1667,91.8167,276.38,94,100,6.15,RU,1713752461
230,port lincoln,-34.7333,135.8667,294.42,37,0,3.14,AU,1713752461
231,plavsk,53.7094,37.2919,283.39,79,75,6.33,RU,1713752462
232,sirte,31.2089,16.5887,292.67,79,100,5.47,LY,1713752462
233,semirom,31.4167,51.5667,280.07,66,100,0.69,IR,1713752463
234,vorgashor,67.5833,63.95,256.04,98,100,4.23,RU,1713752463
235,kamina,-8.7386,24.9906,292.09,92,95,1.19,CD,1713752463
236,juneau,58.3019,-134.4197,285.15,47,100,4.12,US,1713751909
237,zhanaozen,43.3,52.8,292.39,50,94,1.4,KZ,1713752464
238,borgarnes,64.5383,-21.9206,276.38,91,100,1.98,IS,1713752464
239,lihue,21.9789,-159.3672,299.73,68,40,8.75,US,1713752269
240,kone,-21.0595,164.8658,298.7,84,100,1.79,NC,1713752465
241,rondonopolis,-16.4708,-54.6356,300.18,67,100,1.51,BR,1713752250
242,punta arenas,-53.15,-70.9167,279.21,81,75,4.12,CL,1713752385
243,ixtapa,20.7,-105.2,298.83,78,0,2.06,MX,1713752467
244,kidal,18.4411,1.4078,302.98,9,0,4.43,ML,1713752468
245,vredendal,-31.6683,18.5012,288.17,87,91,1.02,ZA,1713752169
246,queenstown,-31.8976,26.8753,292.07,35,100,2.79,ZA,1713752468
247,badger,64.8,-147.5333,288.29,23,0,3.6,US,1713752469
248,urucara,-2.5364,-57.76,296.08,99,100,0.81,BR,1713752469
249,poronaysk,49.2167,143.1167,279.61,74,100,2.29,RU,1713751684
250,bagarji,27.756,68.7524,302.04,30,0,2.21,PK,1713752469
251,guerrero,17.6667,-100.0,296.08,45,0,3.29,MX,1713752469
252,labytnangi,66.6572,66.4183,255.03,88,14,3.51,RU,1713752469
253,tromso,69.6496,18.957,271.16,46,19,8.75,NO,1713752470
254,uvira,-3.4067,29.1458,295.84,89,71,2.64,CD,1713752175
255,parauapebas,-6.0675,-49.9022,296.45,98,100,0.4,BR,1713752462
